x=3.963;y=3.911;z=-3.533
x=1.01;y=4.221;z=3.771
x=-1.578;y=4.865;z=-3.175
x=-4.573;y=-4.184;z=3.866
x=2.326;y=1.52;z=4.437
x=-3.676;y=2.154;z=3.478
x=4.648;y=0.026;z=3.76
x=-4.643;y=3.354;z=3.46
x=-1.56;y=3.468;z=-0.156
x=3.03;y=-1.09;z=-0.891
x=-1.218;y=-0.979;z=3.158
x=4.638;y=2.005;z=-4.052
x=-1.914;y=-0.807;z=1.465
x=-0.849;y=-3.835;z=-0.221
x=-4.289;y=4.369;z=-1.251
x=1.803;y=-1.089;z=-1.774
x=-2.405;y=-4.26;z=3.742
x=2.619;y=-3.309;z=-3.698
x=3.977;y=0.515;z=-2.157
x=-1.825;y=-0.452;z=-1.085
x=3.105;y=-3.595;z=-0.784
x=-0.888;y=-3.73;z=2.965
x=1.967;y=3.589;z=1.133
x=2.663;y=-4.755;z=4.528
x=2.444;y=3.335;z=4.553
x=-1.617;y=4.435;z=3.094
x=-4.793;y=-3.176;z=-3.682
x=4.083;y=-1.87;z=-1.307
x=-5.485;y=5.383;z=-5.643
x=-2.553;y=-1.427;z=4.91
x=4.544;y=0.654;z=-3.073
x=-0.998;y=4.579;z=1.132
x=3.812;y=-2.442;z=-0.68
x=-3.008;y=0.56;z=4.935
x=3.239;y=-2.331;z=4.761
x=0.174;y=-2.23;z=2.741
x=-1.885;y=1.329;z=2.087
x=4.509;y=0.262;z=0.58
x=-3.378;y=3.359;z=-3.1
x=-4.187;y=-1.829;z=2.245
x=3.593;y=0.793;z=-4.278
x=-2.657;y=-4.802;z=-2.623
x=3.063;y=-2.933;z=-1.859
x=-1.79;y=-3.554;z=-3.23
x=1.172;y=-0.134;z=2.416
x=-1.602;y=-1.541;z=-1.379
x=4.478;y=3.733;z=-1.2
x=0.164;y=2.425;z=-4.089
x=-4.961;y=1.212;z=1.308
x=-3.557;y=-1.486;z=-2.23
x=-2.306;y=-4.123;z=-2.599
x=-1.963;y=-0.255;z=-0.285
x=-0.585;y=3.166;z=-2.51
x=1.069;y=2.317;z=2.071
x=-2.66;y=-2.917;z=4.937
x=4.723;y=-3.291;z=-4.897
x=-3.621;y=-0.844;z=-0.873
x=-3.394;y=-0.5;z=-3.733
x=-0.599;y=-1.937;z=-3.599
x=1.16;y=-1.326;z=0.507
x=3.504;y=3.775;z=-0.021
x=-0.779;y=-2.794;z=3.163
x=4.076;y=1.185;z=1.848
x=-4.24;y=3.936;z=-4.808
x=3.863;y=1.005;z=2.688
x=-3.252;y=-0.635;z=0.302
x=-4.668;y=2.572;z=4.025
x=0.392;y=1.054;z=-0.48
x=2.226;y=0.008;z=0.654
x=-5.128;y=-6.22;z=-2.079
x=1.018;y=-2.442;z=1.773
x=1.887;y=1.003;z=-0.192
x=4.591;y=-0.333;z=1.017
x=-1.15;y=1.137;z=1.336
x=3.511;y=-3.791;z=3.766
x=3.29;y=-3.736;z=0.713
x=-3.58;y=-3.216;z=4.774
x=-4.48;y=-4.61;z=1.564
x=-1.863;y=4.978;z=-2.998
x=-4.012;y=4.658;z=1.962
x=-4.577;y=3.55;z=3.611
x=3.39;y=0.478;z=-4.878
x=-4.92;y=0.074;z=-2.969
x=1.707;y=-1.523;z=4.438
x=0.98;y=1.8;z=3.841
x=-3.385;y=-4.508;z=-2.19
x=1.256;y=3.179;z=1.272
x=3.194;y=2.52;z=1.444
x=1.962;y=-2.318;z=1.425
x=-1.567;y=-4.109;z=-0.084
x=0.714;y=-4.397;z=-0.195
x=-3.58;y=-4.538;z=-3.279
x=-1.408;y=2.421;z=0.508
x=-0.452;y=-3.247;z=2.149
x=6.157;y=5.072;z=6.572
x=2.131;y=-0.812;z=0.832
x=-5.984;y=1.1;z=-2.672
x=1.924;y=-4.287;z=-3.398
x=1.139;y=0.828;z=2.002
x=2.352;y=-1.646;z=1.718
x=2.009;y=3.254;z=-0.272
x=3.432;y=-2.56;z=3.976
x=-3.562;y=-3.828;z=-0.909
x=-3.05;y=-2.925;z=1.136
x=-3.72;y=-2.534;z=4.395
x=-3.088;y=-3.595;z=0.573
x=-3.169;y=4.254;z=-4.169
x=2.874;y=-3.923;z=-4.571
x=2.544;y=4.738;z=-2.796
x=4.038;y=-3.936;z=4.966
x=0.255;y=1.359;z=3.608
x=1.367;y=-4.021;z=-0.491
x=2.389;y=-4.873;z=4.21
x=1.767;y=-6.884;z=-5.278
x=-4.282;y=-0.498;z=-2.132
x=-2.831;y=-3.689;z=3.843
x=3.918;y=-2.613;z=4.387
x=2.83;y=-4.409;z=4.737
x=-0.631;y=1.084;z=-1.921
x=-4.817;y=-2.914;z=2.445
x=-4.629;y=3.945;z=0.559
x=2.367;y=4.258;z=3.546
x=1.782;y=-2.299;z=-2.038
x=-5.859;y=1.83;z=-5.792
x=3.297;y=4.058;z=-1.032
x=-0.059;y=-1.023;z=2.579
x=2.193;y=0.924;z=4.421
x=4.926;y=0.049;z=1.155
x=-2.545;y=-3.932;z=-3.914
x=-1.708;y=4.588;z=-1.886
x=-1.44;y=-3.066;z=3.715
x=1.133;y=-5.709;z=-4.794
x=3.722;y=0.182;z=0.825
x=2.426;y=-3.695;z=-0.143
x=-4.005;y=-2.16;z=-4.401
x=3.93;y=4.851;z=4.47
x=4.336;y=-4.272;z=0.754
x=-4.33;y=-3.282;z=-4.577
x=-2.537;y=-1.767;z=0.44
x=4.674;y=1.253;z=0.627
x=-1.45;y=-1.639;z=4.114
x=2.87;y=-4.822;z=-0.508
x=3.576;y=3.557;z=4.015
x=-0.606;y=-1.372;z=-2.855
x=1.808;y=-0.79;z=-0.557
x=3.286;y=4.74;z=-2.619
x=1.327;y=3.812;z=-0.793
x=0.663;y=2.015;z=3.826
x=2.235;y=2.946;z=1.127
x=-3.217;y=4.997;z=1.959
x=4.005;y=0.407;z=2.898
x=4.342;y=-1.017;z=0.861
x=-2.485;y=0.9;z=2.748
x=-3.738;y=-4.234;z=4.463
x=4.96;y=-1.82;z=-0.458
x=-0.268;y=4.389;z=-1.394
x=-2.82;y=-4.043;z=4.783
x=-2.079;y=2.246;z=0.559
x=-0.292;y=-1.497;z=-0.23
x=-3.906;y=-3.029;z=0.484
x=0.201;y=2.93;z=-1.384
x=-3.046;y=4.237;z=-3.405
x=-1.198;y=-2.333;z=-4.542
x=-6.582;y=0.182;z=-6.85
x=-1.458;y=0.073;z=1.067
x=4.081;y=-0.89;z=-2.007
x=2.577;y=3.979;z=4.51
x=-4.259;y=-2.41;z=-3.709
x=4.516;y=0.825;z=3.525
x=-1.76;y=-3.027;z=-2.251
x=3.347;y=0.085;z=-1.513
x=-4.874;y=2.661;z=-3.214
x=4.978;y=2.726;z=-2.548
x=3.473;y=4.932;z=-2.567
x=0.875;y=1.518;z=-3.568
x=-0.358;y=1.788;z=-4.307
x=-2.069;y=-1.823;z=-1.101
x=-0.377;y=-0.561;z=-4.26
x=-3.487;y=-2.423;z=4.9
x=1.019;y=-3.088;z=-1.817
x=-3.08;y=-2.96;z=-0.992
x=2.045;y=2.523;z=-0.177
x=-1.918;y=-0.952;z=4.592
x=-4.119;y=-0.375;z=3.408
x=-2.633;y=2.03;z=-0.342
x=-2.623;y=2.245;z=-0.329
x=-2.228;y=-3.34;z=3.075
x=-4.988;y=-4.538;z=-1.043
x=-2.308;y=3.887;z=1.41
x=3.278;y=-1.308;z=2.523
x=-1.644;y=3.073;z=3.822
x=1.55;y=3.03;z=0.327
x=2.558;y=-1.408;z=-0.809
x=-4.548;y=0.134;z=3.921
x=-0.462;y=-0.529;z=-3.264
x=-2.662;y=-0.144;z=-0.632
x=3.848;y=4.97;z=-1.921
x=3.165;y=-4.084;z=-2.575
x=0.672;y=-3.929;z=-2.153
x=-0.196;y=4.302;z=-1.713
x=2.598;y=-1.709;z=0.84
x=-2.118;y=-1.178;z=2.804
x=3.151;y=3.692;z=2.493
x=3.598;y=0.236;z=3.788
x=-1.075;y=-0.994;z=-3.64
x=1.637;y=4.62;z=3.621
x=3.635;y=-0.779;z=1.751
x=-3.961;y=-2.79;z=-2.08
x=-4.746;y=-3.629;z=0.0
x=0.169;y=3.999;z=-0.49
x=2.944;y=0.794;z=3.024
x=2.829;y=4.265;z=-0.66
x=-2.255;y=-3.879;z=4.956
x=3.664;y=1.479;z=3.116
x=-3.124;y=-1.03;z=-4.348
x=3.459;y=-0.244;z=-1.219
x=-3.205;y=4.77;z=-4.383
x=2.78;y=-1.839;z=1.642
x=-2.977;y=4.991;z=4.355
x=4.81;y=-2.86;z=2.158
x=-0.581;y=3.214;z=1.441
x=-3.442;y=4.686;z=-0.388
x=2.012;y=-1.925;z=3.728
x=2.8;y=0.308;z=-0.922
x=-1.911;y=1.29;z=-0.476
x=1.997;y=-3.501;z=3.269
x=4.911;y=-0.947;z=-4.371
x=1.138;y=4.237;z=4.451
x=3.345;y=2.555;z=3.945
x=3.622;y=-0.971;z=0.825
x=-4.681;y=2.766;z=4.753
x=0.661;y=2.652;z=0.857
x=-3.036;y=-2.634;z=-4.132
x=-1.823;y=3.32;z=-2.892
x=-0.868;y=0.041;z=-4.452
x=-1.854;y=-1.936;z=-3.251
x=4.553;y=2.209;z=-0.375
x=0.931;y=2.514;z=-2.185
x=-3.827;y=0.129;z=-2.211
x=2.926;y=-2.757;z=-2.541
x=-2.481;y=-0.379;z=1.937
x=2.04;y=-0.562;z=1.678
x=0.93;y=-3.814;z=3.028
x=-4.996;y=-2.759;z=-2.941
x=3.547;y=-1.09;z=1.56
x=-4.001;y=-4.678;z=-0.366
x=1.71;y=1.284;z=-2.081
x=3.763;y=4.1;z=4.93
x=-1.41;y=-0.917;z=1.897
x=0.057;y=-0.93;z=-3.299
x=1.778;y=2.718;z=-4.136
x=3.81;y=3.714;z=-0.933
x=0.759;y=4.539;z=-4.245
x=3.66;y=-2.521;z=1.017
x=-0.688;y=0.247;z=4.715
x=2.797;y=-2.584;z=3.515
x=4.195;y=1.725;z=-4.173
x=-2.525;y=0.882;z=1.265
x=-1.719;y=-4.83;z=-0.008
x=2.164;y=-3.401;z=4.973
x=3.377;y=-2.755;z=-3.584
x=0.701;y=-2.407;z=-6.803
x=4.82;y=0.25;z=-4.932
x=-1.328;y=-3.656;z=1.557
x=2.704;y=-3.088;z=-3.186
x=0.993;y=-2.458;z=4.209
x=3.809;y=4.343;z=-1.605
x=-4.073;y=-0.881;z=0.358
x=4.424;y=3.741;z=-1.831
x=1.332;y=-2.17;z=3.563
x=-3.445;y=-3.87;z=3.758
x=3.911;y=4.082;z=1.202
x=3.128;y=0.296;z=0.564
x=-2.628;y=-0.065;z=-2.734
x=1.387;y=2.758;z=-1.705
x=-0.202;y=-2.496;z=2.936
x=1.066;y=-1.758;z=-3.312
x=-0.368;y=-4.421;z=2.518
x=1.587;y=-1.172;z=1.843
x=-2.929;y=-3.438;z=2.05
x=3.009;y=-4.862;z=-1.576
x=-0.102;y=1.048;z=-1.206
x=-3.488;y=4.235;z=-0.414
x=1.525;y=-1.262;z=1.931
x=-2.27;y=-0.116;z=-4.222
x=2.773;y=-1.334;z=2.223
x=-4.429;y=-4.928;z=-4.639
x=-1.649;y=2.79;z=-0.167
x=-3.001;y=-4.403;z=1.687
x=2.754;y=-1.9;z=1.693
x=2.601;y=2.029;z=-0.533
x=-1.371;y=-2.731;z=-3.406
x=4.323;y=4.85;z=-4.011
x=-2.545;y=3.125;z=-1.554
x=-1.381;y=-1.054;z=0.741
x=2.28;y=-2.139;z=-2.543
x=4.298;y=1.04;z=0.128
x=3.02;y=4.154;z=-1.3
x=-4.297;y=1.714;z=-4.133
x=-3.021;y=0.212;z=0.189
x=-2.244;y=4.99;z=-3.69
x=-0.914;y=-3.213;z=-0.999
x=1.672;y=-2.483;z=-3.717
x=-3.611;y=-4.865;z=-2.775
x=-0.517;y=1.333;z=-3.442
x=3.893;y=2.01;z=4.094
x=-1.606;y=-2.902;z=3.934
x=-3.55;y=-4.379;z=1.888
x=-3.751;y=-1.742;z=-2.633
x=0.281;y=-1.044;z=-2.267
x=3.505;y=-2.981;z=4.231
x=0.433;y=3.662;z=-2.426
x=-3.647;y=-4.141;z=4.236
x=-3.681;y=-0.443;z=-4.024
x=0.135;y=2.128;z=2.276
x=-2.905;y=4.432;z=-0.279
x=-6.011;y=-4.646;z=6.134
x=-2.577;y=2.784;z=2.83
x=-1.517;y=2.033;z=-3.134
x=-4.095;y=0.213;z=-1.286
x=-3.554;y=-1.943;z=2.021
x=0.675;y=2.397;z=3.657
x=1.718;y=4.848;z=-1.356
x=3.097;y=-3.63;z=4.844
x=0.128;y=0.882;z=3.156
x=0.133;y=4.677;z=0.783
x=4.421;y=-1.072;z=-1.12
x=3.625;y=1.992;z=-3.778
x=2.465;y=4.129;z=-2.481
x=-6.02;y=-6.955;z=6.66
x=-4.917;y=4.529;z=-2.38
x=-4.406;y=2.984;z=2.216
x=-3.799;y=-1.024;z=0.046
x=-3.691;y=0.473;z=-1.72
x=4.392;y=3.858;z=4.308
x=2.795;y=4.642;z=-3.298
x=-3.366;y=1.446;z=0.169
x=3.923;y=1.646;z=-3.317
x=-3.552;y=-3.924;z=0.207
x=-3.317;y=2.889;z=3.525
x=-4.429;y=2.203;z=-1.897
x=-0.604;y=2.026;z=-1.107
x=-1.396;y=-3.943;z=-4.12
x=2.515;y=3.711;z=3.439
x=1.274;y=-1.065;z=0.306
x=-2.428;y=3.266;z=-4.548
x=-1.121;y=1.328;z=-4.229
x=0.882;y=2.782;z=0.093
x=0.669;y=-3.593;z=-2.456
x=3.329;y=3.154;z=-3.73
x=4.663;y=-4.544;z=3.07
x=4.25;y=4.63;z=3.394
x=0.218;y=-0.014;z=2.271
x=1.527;y=-4.069;z=1.78
x=-1.702;y=2.54;z=3.443
x=-1.286;y=-2.079;z=1.856
x=1.176;y=-3.901;z=-0.389
x=3.221;y=2.432;z=-4.206
x=6.906;y=6.729;z=5.553
x=-2.238;y=-0.866;z=-2.348
x=-0.894;y=-2.059;z=0.877
x=-2.817;y=1.85;z=4.539
x=-4.025;y=-3.036;z=4.479
x=-3.651;y=2.443;z=1.852
x=2.905;y=-3.388;z=-2.628
x=-0.908;y=0.175;z=4.88
x=-3.724;y=4.294;z=-0.264
x=0.897;y=3.864;z=-1.981
x=4.543;y=1.465;z=3.435
x=3.04;y=2.893;z=-4.94
x=4.28;y=-2.949;z=0.525
x=4.483;y=0.37;z=1.018
x=-0.952;y=4.726;z=-2.339
x=6.265;y=5.794;z=5.401
x=-1.474;y=-0.727;z=-0.11
x=-0.944;y=-2.343;z=4.321
x=2.492;y=1.454;z=3.053
x=-1.746;y=-2.536;z=3.388
x=6.257;y=-4.9;z=5.988
x=4.626;y=-2.947;z=2.059
x=4.799;y=4.37;z=-0.714
x=-2.275;y=2.776;z=-2.391
x=3.751;y=-0.67;z=4.418
x=3.614;y=3.415;z=-4.289
x=2.948;y=3.248;z=4.904
x=-0.879;y=-3.701;z=-3.194
x=-3.812;y=-1.906;z=-4.593
x=-0.951;y=0.726;z=4.389
x=4.105;y=0.729;z=4.829
x=1.688;y=0.01;z=-4.478
x=3.738;y=-3.717;z=1.861
x=0.002;y=-1.084;z=-2.074
x=2.817;y=-3.794;z=-2.929
x=0.103;y=0.208;z=-1.307
x=-3.611;y=-4.46;z=1.184
x=0.246;y=-2.099;z=4.431
x=3.206;y=3.984;z=-2.151
x=-3.238;y=2.193;z=3.198
x=-2.291;y=3.932;z=3.887
x=3.332;y=1.612;z=-3.485
x=-3.748;y=3.883;z=-2.438
x=-3.979;y=-1.353;z=-1.512
x=-3.686;y=-4.485;z=3.698
x=4.71;y=-1.595;z=-2.905
x=-4.783;y=4.656;z=-1.472
x=4.274;y=-2.41;z=0.504
x=-0.752;y=-1.591;z=-2.298
x=-1.492;y=2.627;z=-1.524
x=1.856;y=-3.218;z=-4.706
x=-3.489;y=-2.227;z=1.755
x=-1.299;y=-3.428;z=-1.332
x=-1.284;y=1.227;z=-0.242
x=-1.514;y=-3.309;z=-2.966
